"","age","gender","income","education","country","winnerN","P_OTwin_late","P_OTwin_early","otherTeam_distance_before","ownTeam_distance_before","wholeGroup_distance_before","session","treatment","dgOffer"
"4204","32","Female",6,6,"US","deadLock",NA,0,54,122,61,182,"S4_4",0.1
"4205","36","Male",8,5,"non-US","deadLock",0.03030303,NA,125,0,48,199,"S4_2",0
"4206","29","Male",7,5,"non-US","deadLock",NA,NA,10,125,27,210,"S4_3",0
"4207","58","Male",5,4,"US","otherTeam",0,NA,-50,59,55,213,"S4_1",0
"4208","31","Female",6,2,"US","deadLock",NA,NA,-19,124,49,194,"S4_5",0
"4209","34","Male",7,5,"US","deadLock",NA,NA,20,-1,4,157,"S4_2",0
"4210","67","Female",8,5,"US","deadLock",NA,NA,38,56,59,203,"S4_2",0.05
"4211",NA,NA,NA,NA,NA,"deadLock",NA,NA,-50,-50,-50,127,"S4_2",NA
"4212","37","Male",7,5,"US","deadLock",NA,NA,43,115,54,143,"S4_5",0
"4213","45","Female",6,4,"US","deadLock",NA,NA,34,125,105,183,"S4_2",0
"4214","21","Female",5,2,"US","deadLock",0,NA,-11,124,35,198,"S4_2",0
"4215","27","Female",9,5,"US","deadLock",NA,0,125,111,100,207,"S4_3",0
"4216","30","Male",4,3,NA,"ownTeam",NA,NA,-16,17,26,209,"S4_1",0.4
"4217","21","Male",5,4,"US","otherTeam",NA,NA,13,92,48,214,"S4_4",0
"4218","33","Male",5,5,"US","deadLock",NA,NA,13,111,53,215,"S4_2",0.25
"4219","34","Male",5,5,"US","deadLock",NA,NA,-1,123,50,138,"S4_3",0.2
"4220","43","Female",1,5,"US","ownTeam",NA,NA,-16,34,8,145,"S4_4",0.2
"4221","27","Female",1,4,"US","deadLock",0,0,28,71,92,163,"S4_5",0.2
"4222","51","Female",8,6,"US","ownTeam",NA,NA,-3,0,0,217,"S4_4",0
"4223","24","Male",6,4,"non-US","deadLock",1,1,125,102,125,129,"S4_1",0
"4224","22","Male",5,4,"US","deadLock",1,1,51,14,125,140,"S4_2",0.1
"4225","26","Female",2,4,"US","deadLock",NA,NA,-50,-50,-50,153,"S4_3",0
"4226","25","Male",4,4,"non-US","otherTeam",0.6,1,107,111,105,209,"S4_1",0.2
"4227","31","Male",3,6,"US","deadLock",1,1,80,80,42,150,"S4_1",0
"4228","36","Male",7,4,"US","ownTeam",NA,NA,31,122,122,175,"S4_2",0
"4229","25","Male",1,5,"non-US","deadLock",NA,NA,98,105,108,140,"S4_2",0.15
"4230","40","Female",10,5,"US","deadLock",NA,NA,5,85,56,160,"S4_4",0
"4231","29","Male",5,2,"US","deadLock",NA,NA,0,122,74,146,"S4_4",0
"4232","35","Female",6,4,"US","ownTeam",NA,0,1,125,125,211,"S4_5",0
"4233","27","Female",6,6,"US","deadLock",NA,NA,-89,125,37,127,"S4_2",0
"4234","21","Male",3,3,"US","otherTeam",NA,0.5,-50,-50,-50,123,"S4_5",0
"4235","50","Male",3,2,"US","deadLock",NA,NA,-1,19,46,212,"S4_3",0.2
"4236","42","Male",6,5,"US","deadLock",1,1,0,125,100,194,"S4_5",0
"4237","33","Male",7,5,"US","deadLock",1,0.79518072,-50,76,-100,195,"S4_2",0
"4238","36","Female",7,5,"US","deadLock",1,1,2,22,31,200,"S4_4",0.2
"4239","42","Female",6,2,"US","otherTeam",NA,1,95,-100,26,151,"S4_4",0
"4240","46","Male",9,6,"US","deadLock",1,1,5,92,125,215,"S4_2",0
"4241","47","Female",1,2,"US","deadLock",NA,NA,-50,-50,-50,127,"S4_2",0.1
"4242","26","Female",5,2,"US","deadLock",NA,1,-2,125,1,128,"S4_4",0
